10 100
1 4000 10
2 2000 100
3 3000 30
4 1000 40
5 1000 20
6 2000 60
7 3000 30
8 2000 70
9 2000 70
10 1000 30
11 3000 40
12 2000 40
13 1000 40
14 1000 10
15 1000 80
16 1000 80
17 1000 100
18 3000 60
19 4000 100
20 2000 50
21 1000 50
22 1000 40
23 2000 100
24 1000 70
25 3000 30
26 3000 100
27 2000 40
28 1000 100
29 3000 50
30 3000 100
31 3000 100
32 4000 10
33 2000 60
34 4000 70
35 2000 100
36 3000 90
37 1000 20
38 2000 30
39 3000 30
40 4000 90
41 4000 10
42 4000 50
43 2000 60
44 4000 30
45 2000 70
46 4000 40
47 2000 90
48 4000 90
49 3000 20
