10 100
1 1000 40
2 1000 40
3 4000 10
4 3000 30
5 4000 20
6 4000 50
7 2000 40
8 3000 40
9 3000 30
10 2000 20
11 4000 40
12 1000 90
13 4000 100
14 4000 90
15 4000 20
16 3000 50
17 1000 30
18 4000 10
19 4000 70
20 3000 60
21 1000 40
22 3000 40
23 3000 20
24 4000 40
25 1000 100
26 1000 40
27 3000 10
28 3000 30
29 1000 70
30 3000 50
31 1000 100
32 1000 70
33 4000 90
34 3000 60
35 2000 90
36 4000 100
37 4000 20
38 2000 10
39 3000 30
40 3000 100
41 1000 30
42 2000 70
43 3000 70
44 4000 60
45 1000 20
46 4000 100
47 3000 100
48 3000 30
