10 100
1 4000 100
2 2000 70
3 4000 50
4 1000 40
5 1000 100
6 4000 50
7 4000 20
8 1000 20
9 3000 30
10 2000 10
11 1000 40
12 4000 10
13 1000 60
14 3000 40
15 1000 20
16 2000 70
17 4000 70
18 4000 100
19 1000 10
20 2000 20
21 3000 50
22 4000 40
23 3000 40
24 4000 40
25 4000 40
26 2000 60
27 4000 50
28 1000 70
29 2000 70
30 1000 10
31 2000 50
32 4000 50
33 3000 40
34 2000 40
35 1000 100
36 4000 60
37 3000 60
38 2000 20
39 1000 50
40 2000 70
41 4000 30
42 4000 90
43 2000 10
44 1000 60
45 4000 80
46 4000 10
47 4000 70
