10 100
1 1000 20
2 2000 80
3 3000 60
4 3000 40
5 3000 70
6 2000 70
7 1000 10
8 2000 60
9 3000 100
10 4000 90
11 1000 40
12 3000 10
13 1000 70
14 1000 50
15 4000 100
16 2000 60
17 3000 20
18 2000 60
19 3000 100
20 2000 60
21 2000 10
22 2000 80
23 2000 60
24 1000 10
25 1000 30
26 2000 70
27 3000 50
28 3000 60
29 1000 70
30 2000 100
31 1000 90
32 2000 100
33 3000 30
34 2000 90
35 1000 80
36 3000 100
37 4000 10
38 3000 10
39 1000 30
40 4000 40
41 4000 30
42 1000 30
43 4000 10
44 2000 100
45 1000 50
46 2000 50
47 1000 80
48 3000 40
49 3000 10
50 1000 40
