10 100
1 3000 20
2 4000 40
3 3000 70
4 2000 60
5 3000 10
6 3000 20
7 1000 70
8 5000 50
9 1000 40
10 2000 30
11 3000 90
12 3000 40
13 5000 20
14 1000 30
15 3000 40
16 2000 70
17 2000 70
18 3000 90
19 1000 80
20 4000 30
21 4000 100
22 2000 50
23 2000 40
24 5000 100
25 5000 50
26 2000 20
27 3000 50
28 3000 60
29 3000 60
30 5000 50
31 3000 10
32 3000 80
33 2000 70
34 4000 10
35 1000 20
36 3000 50
37 3000 100
38 4000 100
39 2000 100
40 3000 20
41 5000 100
42 5000 90
43 5000 80
44 1000 50
45 2000 60
46 4000 60
47 3000 40
48 3000 50
