10 100
1 3000 60
2 1000 100
3 4000 20
4 1000 80
5 2000 70
6 3000 100
7 2000 30
8 3000 80
9 2000 40
10 2000 100
11 2000 40
12 1000 30
13 3000 10
14 3000 70
15 3000 10
16 1000 100
17 2000 90
18 2000 100
19 3000 50
20 4000 10
21 4000 50
22 3000 60
23 1000 30
24 3000 20
25 1000 90
26 3000 100
27 1000 100
28 1000 10
29 1000 40
30 3000 80
31 4000 40
32 2000 40
33 2000 70
34 1000 10
35 3000 40
36 2000 30
37 4000 50
38 1000 80
39 4000 40
40 3000 50
41 4000 40
42 4000 80
43 2000 80
44 1000 50
45 1000 70
46 4000 90
47 1000 100
48 4000 40
