10 100
1 3000 60
2 2000 30
3 4000 30
4 4000 80
5 4000 20
6 1000 40
7 2000 70
8 1000 40
9 1000 30
10 4000 40
11 2000 80
12 3000 60
13 4000 90
14 4000 80
15 3000 30
16 1000 60
17 4000 80
18 2000 40
19 1000 10
20 4000 60
21 4000 20
22 4000 10
23 2000 80
24 4000 60
25 1000 10
26 1000 20
27 4000 20
28 1000 80
29 3000 60
30 3000 100
31 4000 30
32 2000 70
33 1000 70
34 1000 20
35 2000 30
36 2000 20
37 3000 80
38 4000 40
39 3000 80
40 4000 80
41 4000 30
42 3000 20
43 2000 90
44 1000 40
45 3000 60
46 4000 60
